,ppltrst,agea,dweight,pspwght,pweight,psu,stratum,weight,male,eco_friendly,income
443,2.0,28.0,0.8102303147315979,0.6171078085899353,0.370392886,617.0,30.0,0.22857234,0.0,0.0,4.0
444,8.0,27.0,0.5228793621063232,0.3312413692474365,0.370392886,431.0,54.0,0.12268945,0.0,1.0,1.0
446,0.0,28.0,1.1065404415130615,0.9700354337692261,0.370392886,301.0,60.0,0.35929424,1.0,1.0,4.0
449,6.0,51.0,1.7171739339828491,1.4610462188720703,0.370392886,27.0,32.0,0.5411611,1.0,1.0,7.0
451,8.0,20.0,0.5887610912322998,0.4572363495826721,0.370392886,116.0,82.0,0.16935709,0.0,0.0,3.0
452,7.0,88.0,0.7803374528884888,0.6365519165992737,0.370392886,538.0,74.0,0.23577431,1.0,1.0,2.0
456,7.0,30.0,0.8666936159133911,2.9728333950042725,0.370392886,154.0,80.0,1.1011163,1.0,1.0,7.0
459,8.0,28.0,0.5887610912322998,1.3384687900543213,0.370392886,116.0,82.0,0.4957593,0.0,0.0,6.0
460,4.0,30.0,0.5426262021064758,1.0454579591751099,0.370392886,613.0,20.0,0.3872302,0.0,1.0,5.0
463,4.0,53.0,0.4334735572338104,0.36881810426712036,0.370392886,8.0,36.0,0.1366076,1.0,1.0,4.0
466,9.0,55.0,0.648005485534668,0.7521901726722717,0.370392886,231.0,56.0,0.27860588,1.0,1.0,1.0
470,7.0,65.0,0.9390771389007568,1.8721882104873657,0.370392886,138.0,85.0,0.6934452,1.0,1.0,5.0
471,4.0,40.0,1.296010971069336,0.7203366756439209,0.370392886,225.0,56.0,0.2668076,0.0,0.0,7.0
473,8.0,63.0,0.8263532519340515,0.6386044025421143,0.370392886,144.0,84.0,0.23653452,1.0,1.0,5.0
474,0.0,43.0,0.5410124659538269,0.30070045590400696,0.370392886,262.0,55.0,0.11137731,0.0,1.0,2.0
475,5.0,27.0,1.0820249319076538,0.9485440254211426,0.370392886,262.0,55.0,0.35133395,1.0,1.0,1.0
480,8.0,65.0,1.1899725198745728,1.3889169692993164,0.370392886,620.0,25.0,0.51444495,1.0,0.0,5.0
483,2.0,44.0,1.1784298419952393,0.6585986018180847,0.370392886,622.0,26.0,0.24394023,0.0,1.0,6.0
490,4.0,45.0,0.5087624788284302,0.284336119890213,0.370392886,625.0,28.0,0.10531607,0.0,0.0,2.0
492,5.0,56.0,1.3148705959320068,1.016129493713379,0.370392886,121.0,81.0,0.37636712,1.0,1.0,8.0
494,3.0,44.0,1.8684229850769043,2.9135539531707764,0.370392886,82.0,83.0,1.0791596,0.0,1.0,7.0
495,5.0,20.0,1.296010971069336,1.7390410900115967,0.370392886,227.0,56.0,0.64412844,0.0,1.0,3.0
499,8.0,80.0,1.0607900619506836,1.4327919483184814,0.370392886,577.0,49.0,0.5306959,1.0,0.0,5.0
500,5.0,16.0,1.0110207796096802,1.5785777568817139,0.370392886,610.0,46.0,0.58469397,0.0,1.0,2.0
508,5.0,45.0,0.585741400718689,0.4356895089149475,0.370392886,388.0,16.0,0.1613763,1.0,1.0,3.0
510,7.0,30.0,0.9987674951553345,1.0188006162643433,0.370392886,42.0,48.0,0.3773565,1.0,0.0,5.0
513,5.0,70.0,0.6480055451393127,1.0888633728027344,0.370392886,239.0,56.0,0.40330726,1.0,1.0,6.0
516,7.0,59.0,1.1410472393035889,0.9775131940841675,0.370392886,542.0,76.0,0.36206394,0.0,1.0,5.0
517,8.0,52.0,1.795505166053772,2.5046794414520264,0.370392886,194.0,95.0,0.9277154,1.0,1.0,10.0
518,8.0,59.0,1.2851879596710205,0.8417233228683472,0.370392886,639.0,24.0,0.31176832,1.0,1.0,6.0
519,2.0,54.0,1.1784298419952393,1.4698377847671509,0.370392886,640.0,26.0,0.54441744,0.0,1.0,2.0
520,4.0,63.0,1.1422102451324463,0.978509783744812,0.370392886,546.0,73.0,0.36243308,0.0,0.0,3.0
521,6.0,59.0,1.1259263753890991,1.5696555376052856,0.370392886,3.0,62.0,0.58138925,0.0,1.0,9.0
522,6.0,31.0,0.5424250960350037,0.47813472151756287,0.370392886,4.0,17.0,0.1770977,1.0,1.0,5.0
523,5.0,87.0,0.5723913311958313,0.8871697783470154,0.370392886,31.0,32.0,0.32860136,0.0,1.0,1.0
527,7.0,61.0,0.42369866371154785,0.2670941948890686,0.370392886,371.0,52.0,0.09892979,1.0,1.0,2.0
528,4.0,77.0,0.9918288588523865,0.7503122091293335,0.370392886,350.0,11.0,0.2779103,1.0,1.0,2.0
529,5.0,39.0,1.3907148838043213,1.4366716146469116,0.370392886,187.0,97.0,0.5321329,0.0,1.0,9.0
530,8.0,67.0,0.7795769572257996,0.5165322422981262,0.370392886,379.0,13.0,0.19131987,1.0,1.0,5.0
532,6.0,45.0,1.1707521677017212,0.9961268901824951,0.370392886,607.0,40.0,0.36895832,1.0,1.0,5.0
534,4.0,72.0,0.689119815826416,0.45621544122695923,0.370392886,422.0,50.0,0.16897896,0.0,1.0,5.0
536,6.0,76.0,0.45341259241104126,0.7027605772018433,0.370392886,611.0,39.0,0.2602975,0.0,1.0,2.0
537,6.0,19.0,1.7364238500595093,1.1428625583648682,0.370392886,10.0,27.0,0.42330816,0.0,1.0,4.0
538,3.0,74.0,0.8259059190750122,1.1001192331314087,0.370392886,292.0,63.0,0.40747634,0.0,1.0,2.0
543,3.0,62.0,0.9918288588523865,0.7879699468612671,0.370392886,350.0,11.0,0.29185846,0.0,1.0,5.0
544,5.0,42.0,1.0110207796096802,0.6538702845573425,0.370392886,610.0,46.0,0.2421889,0.0,1.0,5.0
545,4.0,39.0,2.0350499153137207,2.5382862091064453,0.370392886,14.0,28.0,0.94016314,0.0,1.0,2.0
548,8.0,65.0,0.43852877616882324,0.6784220933914185,0.370392886,354.0,9.0,0.25128272,0.0,0.0,2.0
553,5.0,73.0,1.4086157083511353,2.2261545658111572,0.370392886,131.0,85.0,0.8245518,0.0,0.0,7.0
556,0.0,47.0,1.374986171722412,0.7684494853019714,0.370392886,17.0,53.0,0.2846282,0.0,0.0,4.0
558,6.0,30.0,0.9390771389007568,0.9767312407493591,0.370392886,131.0,85.0,0.3617743,1.0,0.0,6.0
559,6.0,35.0,0.6205836534500122,0.4562843143939972,0.370392886,19.0,18.0,0.16900447,1.0,1.0,1.0
560,3.0,84.0,0.7963978052139282,0.602469801902771,0.370392886,367.0,6.0,0.22315052,1.0,0.0,2.0
